origins,"-22.9033459,-43.1741108","-22.9053258,-43.1753216","-22.9065477,-43.171689","-22.9135526,-43.1729363","-22.9121228,-43.171083499999988","-22.910479,-43.177743199999988","-22.9063086,-43.1768351","-22.9031211,-43.1774405","-22.906491,-43.178954","-22.9032893,-43.1813754","-22.908049,-43.1831914","-22.9064194,-43.1880338","-22.9013307,-43.1774405","-22.9078749,-43.2049783","-22.8992731,-43.1862179","-22.8985011,-43.1831914","-22.900116,-43.1801647","-22.8973499,-43.177743199999988","-22.9199108,-43.1764764","-22.9110173,-43.2098185","-22.9127066,-43.197717","-22.9007447,-43.2013478","-22.8976297,-43.1928756","-22.9160249,-43.1807701","-22.9103782,-43.1904547","-22.9199254,-43.1904547","-22.9262406,-43.1965067","-22.9189915,-43.2073984","-22.9269662,-43.2049783","-22.9189315,-43.2146583","-22.9269056,-43.2122385","-22.9149145,-43.2194976","-22.9124683,-43.2267557","-22.9199108,-43.1764764","-22.9369679,-43.4114825","-22.9289815,-43.2485237","-22.9187487,-43.236431499999988","-22.9306453,-43.2400595","-22.9355418,-43.2255461","-22.9449583,-43.2400595","-22.9574397,-43.2666564","-22.9699767,-43.2859908","-22.9243357,-43.2340127","-22.9289181,-43.255777599999988","-22.9212265,-43.2255461","-22.914701,-43.2448963","-22.9145764,-43.2594041","-22.9303904,-43.2690736","-22.908049,-43.2787413","-22.9223557,-43.2787413","-22.9269937,-43.2932393","-22.9199108,-43.1764764","-22.9143541,-43.2847827","-22.9189594,-43.3029023","-22.9000169,-43.2884071","-22.8997597,-43.3173933","-22.9109261,-43.3125635","-22.8760518,-43.3029023","-22.8831714,-43.3065255","-22.8888491,-43.2932393","-22.8911381,-43.3041101","-22.8778059,-43.2835744","-22.8681471,-43.2980711","-22.8424379,-43.3318801","-22.861871,-43.2884071","-22.8920802,-43.287199","-22.8889738,-43.2787413","-22.8969113,-43.279949599999988","-22.8954047,-43.2702822","-22.8874661,-43.2690736","-22.8972488,-43.2400595","-22.879677,-43.2497327","-22.891752,-43.2315938","-22.8957676,-43.2267557","-22.887707,-43.2400595","-22.8958558,-43.2158682","-22.8735581,-43.2123807","-22.9046147,-43.2146583","-22.9037402,-43.2243364","-22.9067905,-43.2400595","-22.9065434,-43.2690736","-22.9035287,-43.2497327","-22.8986666,-43.2606129","-22.8947121,-43.2581953","-22.8827874,-43.2581953","-22.8875724,-43.256382","-22.8900027,-43.2509417","-22.8157037,-43.2980711","-22.8222125,-43.2787413","-22.8221273,-43.2896152","-22.8365182,-43.2787413","-22.839774,-43.2690736","-22.8454997,-43.2485237","-22.8477994,-43.2594041","-22.8621376,-43.255777599999988","-22.855797,-43.2533597","-22.8701071,-43.2533597","-22.8645808,-43.2485237","-22.8590537,-43.2436871","-22.8510839,-43.2461055","-22.8675207,-43.2363898","-22.8772027,-43.2606129","-22.8747581,-43.267865099999987","-22.8557101,-43.2642391","-22.8636199,-43.2690736","-22.9199108,-43.1764764","-22.8412578,-43.2823662","-22.8468987,-43.2726992","-22.8475666,-43.2884071","-22.8555927,-43.2787413","-22.8474474,-43.3029023","-22.8362841,-43.3077331","-22.8364021,-43.2932393","-22.8553524,-43.3077331","-22.8449735,-43.313771","-22.8249735,-43.3306731","-22.8282603,-43.3173933","-22.8361644,-43.3222227","-22.9580526,-43.197717","-22.8123333,-43.3222227","-22.8124492,-43.3077331","-22.8267501,-43.3077331","-22.8836985,-43.3367082","-22.8917286,-43.3270517","-22.89473,-43.3463628","-22.8945959,-43.3608412","-22.8833673,-43.3729033","-22.8739062,-43.365666399999988","-22.8724059,-43.356015500000012","-22.8804346,-43.3463628","-22.8774301,-43.3270517","-22.8693696,-43.340328799999988","-22.8662669,-43.3318801","-22.8567353,-43.3318801","-22.9199108,-43.1764764","-22.8663928,-43.3173933","-22.8552296,-43.3222227","-22.883108,-43.313771","-22.8759577,-43.313771","-22.8327841,-43.3463628","-22.8454173,-43.354809","-22.8374242,-43.3608412","-22.8262664,-43.365666399999988","-22.8096837,-43.354809","-22.8168607,-43.3511894","-22.8072412,-43.3620475","-22.8263593,-43.354809","-22.8248831,-43.3415357","-22.8183676,-43.3608412","-22.8122156,-43.3367082","-22.8566091,-43.3463628","-22.8487092,-43.3415357","-22.8612778,-43.357222","-22.8533477,-43.356015500000012","-22.8594832,-43.3801392","-22.8666613,-43.3765214","-22.861213,-43.3644601","-22.8640456,-43.4018405","-22.8498256,-43.3946078","-22.8370388,-43.4042512","-22.8299284,-43.4006352","-22.825852,-43.4126877","-22.8369067,-43.4187128","-22.8324064,-43.3897854","-22.8196533,-43.3958133","-22.8198422,-43.374109399999988","-22.8197482,-43.3849625","-22.8404304,-43.3801392","-22.8325341,-43.375315400000012","-22.8499567,-43.3801392","-22.8484553,-43.3704911","-22.8812504,-43.4283516","-22.8811081,-43.4428062","-22.8589415,-43.437988399999988","-22.8723697,-43.4440105","-22.8509158,-43.4476234","-22.8575155,-43.4211227","-22.8700954,-43.4331702","-22.8864297,-43.3849625","-22.8926882,-43.3946078","-22.8877865,-43.4090722","-22.8798963,-43.4042512","-22.874996,-43.4187128","-22.8844832,-43.4223276","-22.9051268,-43.4211227","-22.8938978,-43.4331702","-22.9176264,-43.4403973","-22.9111556,-43.4524402","-22.8793654,-43.4584606","-22.8904823,-43.4572566","-22.880818,-43.4717027","-22.9078077,-43.4692953","-22.8775477,-43.4813312","-22.8997009,-43.4861447","-22.9234115,-43.4933641","-22.8821564,-43.4957704","-22.8665428,-43.4717027","-22.8704475,-43.4777208","-22.871007,-43.5005825","-22.8664339,-43.4825346","-22.8576631,-43.487348","-22.8591516,-43.4969735","-22.8409047,-43.4981765","-22.8490007,-43.4813312","-22.8666507,-43.4608685","-22.8618203,-43.4680916","-22.8522678,-43.4717027","-22.8555701,-43.4584606","-22.8499945,-43.4608685","-22.8411534,-43.4729064","-22.8667221,-43.4536443","-22.8730798,-43.4524402","-22.8143613,-43.217729899999988","-22.7966774,-43.1807701","-22.7863894,-43.1722945","-22.7990157,-43.1880338","-22.8101617,-43.1868232","-22.8037396,-43.1952964","-22.8189714,-43.1783486","-22.8172967,-43.1904547","-22.8020403,-43.2110285","-22.8100616,-43.2013478","-22.8131062,-43.2207073","-22.9622723,-43.1692671","-22.9614409,-43.1735053","-22.9621959,-43.1783486","-22.9665852,-43.1768351","-22.9629505,-43.1831914","-22.9660917,-43.1880338","-22.9689026,-43.1850073","-22.9668457,-43.1928756","-22.9669548,-43.1801647","-22.9720434,-43.1898495","-22.9792041,-43.1898495","-22.9747594,-43.197717","-22.9740535,-43.1874285","-22.9787638,-43.1946912","-22.982376,-43.19106","-22.9851232,-43.1952964","-22.9303914,-43.1753216","-22.9223709,-43.1831914","-22.9248164,-43.175927","-22.9295319,-43.1831914","-22.9367524,-43.175927","-22.936693,-43.1831914","-22.932675,-43.1880338","-22.94207,-43.206188399999988","-22.9414067,-43.1904547","-22.9407113,-43.1783486","-22.9478123,-43.1856126","-22.9477513,-43.1928756","-22.9516157,-43.206188399999988","-22.9557278,-43.1904547","-22.9548962,-43.1946912","-22.9557893,-43.1831914","-22.9521014,-43.1959016","-22.9534631,-43.175927","-22.8366233,-43.2634821","-22.9841763,-43.2122385","-22.9850099,-43.2080035","-22.982672,-43.202558","-22.9754802,-43.206188399999988","-22.9777694,-43.217078","-22.9768868,-43.2267557","-22.9864472,-43.2249413","-22.9836855,-43.2225219","-22.9847956,-43.2315938","-22.9767211,-43.2448963","-22.8830531,-43.2255461","-22.96097,-43.2279653","-22.9531229,-43.2158682","-22.9674401,-43.2158682","-22.9659661,-43.202558","-22.9860579,-43.2666564","-23.0001547,-43.2884071","-23.0093991,-43.3173933","-23.0118936,-43.3065255","-23.0041814,-43.3608412","-23.0012065,-43.3415357","-23.0013555,-43.3270517","-22.982505,-43.3053178","-22.9436244,-43.3813451","-22.9625663,-43.3921967","-22.9324254,-43.3897854","-22.9214068,-43.3801392","-22.9228995,-43.3897854","-22.9116674,-43.4018405","-22.9054822,-43.3849625","-22.9167836,-43.365666399999988","-22.9021596,-43.355317199999988","-22.9122928,-43.3367082","-22.9247824,-43.3596348","-22.9280867,-43.3463628","-22.9250925,-43.3270517","-22.941095,-43.3149785","-22.9759581,-43.3246373","-22.9536202,-43.3342942","-22.9392525,-43.3415357","-22.9439121,-43.3523959","-22.9661369,-43.3536025","-22.9374762,-43.3608412","-22.9549342,-43.3620475","-22.9469693,-43.3644601","-22.9563884,-43.375315400000012","-22.9896594,-43.3518534","-22.9622624,-43.4211227","-22.9680314,-43.47411","-22.9995319,-43.4933641","-23.0033129,-43.4403973","-23.0006704,-43.3921967","-23.0235775,-43.4717027","-22.8852017,-43.5077998","-22.8913638,-43.5246361","-22.8976,-43.5342543","-22.9071499,-43.5306477","-22.9125643,-43.5426687","-22.935723,-43.5270408","-23.0054157,-43.5318499","-22.9979386,-43.6231337","-22.9867005,-43.6351321","-22.997659,-43.644728699999987","-22.9751855,-43.668712199999987","-22.9730781,-43.584719","-22.9727222,-43.6135328","-22.9661476,-43.6327326","-22.9570908,-43.5967268","-22.9442159,-43.6135328","-22.9478452,-43.5751106","-22.9291649,-43.5462744","-22.9433452,-43.553485","-22.9131811,-43.5582915","-22.9241632,-43.5679032","-22.9099031,-43.5679032","-22.8984092,-43.568503799999988","-22.9053119,-43.553485","-22.9161307,-43.577512899999988","-22.9222718,-43.5943255","-22.9199108,-43.1764764","-22.9189059,-43.6111323","-22.9128514,-43.5871208","-22.8920803,-43.6027296","-22.9061237,-43.6207336","-22.9031809,-43.6015291","-22.892982,-43.5931248","-22.9033468,-43.5871208","-22.8773715,-43.6423298","-22.8951509,-43.6111323","-22.8871219,-43.6207336","-22.8825365,-43.6063309","-22.9690705,-43.651925","-22.8971194,-43.577512899999988","-22.8891307,-43.5835181","-22.8874924,-43.5883216","-22.8714775,-43.6039301","-22.8852777,-43.5739095","-22.8748334,-43.5871208","-22.9012562,-43.5618961","-22.8933067,-43.564299","-22.8869155,-43.569104499999987","-22.8943249,-43.5438706","-22.8725769,-43.5763118","-22.8831787,-43.548678","-22.8766302,-43.5679032","-22.8690696,-43.5342543","-22.8785797,-43.5342543","-22.8772868,-43.506597","-22.8688384,-43.5558883","-22.8373454,-43.5366585","-22.8629055,-43.5174213","-22.9213148,-43.6735074","-22.9196277,-43.681898","-22.9203589,-43.686692","-22.9199108,-43.1764764","-22.9434099,-43.6783022","-22.9836216,-43.6890889","-22.9733521,-43.687890499999988","-22.9763102,-43.7034673","-22.9636694,-43.7022693","-22.9559151,-43.6902872","-22.9289858,-43.6926839","-22.9201776,-43.7010712","-22.88946,-43.6902872","-22.8858218,-43.7286194","-22.9085361,-43.6830966","-22.9088885,-43.6543235","-22.8960231,-43.6711099","-22.9059531,-43.6351321","-22.9376476,-43.6327326","-22.92193,-43.6231337","-22.9373809,-43.6543235","-22.9340956,-43.6639164","-22.9311676,-43.644728699999987","-22.8663607,-43.4897546","-22.9199108,-43.1764764"
"-22.9033459,-43.1741108",0,387,588,1496,1789,1503,589,440,714,935,2263,2259,520,3944,1852,1707,1431,815,2462,4344,4157,5355,3109,2005,3191,6164,8194,5277,7406,6055,7009,6165,6381,2462,38168,10000,8166,8533,0,10360,14816,18078,7449,10576,6626,8274,9969,12211,12999,13374,14905,2462,13048,16978,15118,17405,17008,17407,16805,15220,16466,14552,15933,20993,16061,15145,14367,12827,12197,12689,9642,11506,10565,9283,10036,7501,8807,6100,6922,7861,11844,9203,10700,10684,11730,13429,11385,20747,19474,20128,17148,16134,18677,16020,13179,14791,12945,11621,12283,12905,11424,12116,13135,14509,15199,2462,17121,15954,18058,16717,19560,21920,19428,18858,19817,23995,22962,20977,7797,24738,22702,21267,19940,18823,22462,24093,24851,23584,21620,20349,18805,20231,21805,20914,2462,18634,19205,17090,19262,22665,24818,25043,26797,25926,25534,26533,23844,23379,25405,25590,23122,21728,22819,23635,24244,24115,22552,26950,26000,27956,29609,30740,35357,28580,30176,29051,29455,32678,30671,25511,24584,30881,32956,31390,32500,37899,0,30773,32770,32323,31711,30171,29375,32740,37895,33092,39308,0,33391,34990,34829,38072,36801,38518,0,37040,35096,37392,37976,37458,40254,40218,42857,40971,33974,35485,38073,38160,38774,41331,33844,33238,18307,15714,17427,15734,15563,17441,16296,23265,19692,20470,18515,9172,8852,8048,8282,8227,8704,8746,10077,8149,9113,10347,10367,9330,11198,11307,10845,3942,3159,3376,4304,4812,4565,4612,7093,5549,4622,6341,7264,12087,6953,7240,7026,8171,7793,16513,12763,11967,11172,11437,0,12010,13907,13781,15032,15000,8554,11489,10695,11503,12425,20418,25191,25834,26712,43708,51812,24569,22140,40826,40520,36821,38058,37095,35213,36375,25051,22823,25432,25171,23865,20607,21709,27013,23625,21219,22745,28144,26992,30537,29986,30219,33077,44182,0,58996,47355,51544,52256,39354,43382,42264,43748,46689,51576,59067,70829,72654,68989,66462,54707,68790,67085,53090,54061,50954,50019,51132,45656,47672,45733,45523,45258,48370,49997,2462,51132,47643,53782,51654,49290,49413,47580,65184,52223,54281,54180,65666,47652,49250,51391,52535,48390,50258,44482,45767,48558,42360,50121,48036,48629,41708,49209,39144,48617,53930,41472,58940,57911,58095,2462,57885,69432,64219,67109,64615,63246,59519,59692,62297,69438,58459,55249,60788,52884,54568,53266,55932,55762,55022,36875
"-22.9053258,-43.1753216",389,0,1407,1190,2038,1197,202,388,421,1106,1476,2101,558,3857,2119,1865,1278,967,2066,4311,3761,4583,3805,1699,2984,4594,5910,4881,7010,5659,6613,5769,5985,2066,37785,9604,7770,8137,0,9964,14420,17682,7053,10180,6230,8269,9965,12104,12215,13370,14901,2066,13044,16695,13152,17660,17263,17011,17060,15475,16721,14156,15537,20597,15665,15400,13971,13082,12452,12293,9246,11044,8614,8780,9574,6489,8985,5989,6526,7465,12099,9458,10955,10939,11334,12921,11640,20285,20947,19666,16686,15672,19976,15558,12717,14328,12483,12919,13582,14203,11468,11720,12739,14046,14803,2066,16659,15492,17596,17337,19164,21524,18965,18462,19421,22377,22566,20862,7401,24276,22240,23917,19544,19078,22066,23697,24646,23839,21875,19953,19060,19835,20334,20255,2066,19840,18809,17345,18956,22269,24929,27637,28724,25530,25138,26137,23448,22983,25009,25194,24490,21332,23074,24358,25777,24370,22807,26567,25604,27560,29213,30344,34961,28184,29780,28745,29059,27264,27895,25115,24839,30498,32574,31010,32118,37516,0,30390,32387,31940,30771,30753,28992,32357,37512,32709,38925,0,33008,34607,34446,37689,36418,38135,0,36657,34713,37009,37593,37075,39871,39835,42474,40588,33591,35102,37690,37777,38391,40948,33461,32855,18196,15840,17553,15860,22488,21589,16422,23154,19581,20359,18404,8866,8546,7652,7886,7831,8308,8350,9681,7753,8717,9951,9971,8934,10802,10911,10449,3546,2763,2980,3908,4416,4169,4216,6697,5153,4226,5945,6868,10176,6557,6844,6630,6941,7487,16051,12367,11571,10776,11041,0,11614,13511,13385,14636,14115,8092,11093,10299,11107,12029,20022,24795,25438,22178,49750,51429,24173,21744,40443,40137,36438,37675,36712,34830,35992,24534,22191,26892,24775,23469,20584,21685,26847,23459,21218,27512,27748,26596,30141,29590,29823,32681,43799,0,58613,46972,51161,51873,38972,43836,41882,43366,46306,51193,58684,70446,72186,68665,66079,54324,68407,66702,52707,53678,50571,49636,50749,45273,47289,45350,45140,44875,47987,49615,2066,50749,47260,53399,51271,48908,49030,47197,64801,51840,53898,53797,65342,47269,48867,51009,51591,48007,49875,44099,45384,48175,41978,49738,47192,48246,41326,48826,38762,48234,53547,41090,58557,57528,57712,2066,57502,69049,63836,66726,64232,62863,59136,59309,61914,66762,58076,54866,60405,52501,54185,52883,55549,55379,54639,36492
"-22.9065477,-43.171689",588,639,0,1108,1376,911,662,969,881,1484,2070,2846,1049,4469,2668,2523,1626,1780,2133,4730,4314,5077,3925,1811,3486,4465,6880,5259,7388,6037,6991,6147,6363,2133,38163,9982,8148,8515,0,10342,14798,18060,7431,10558,6608,8784,10480,12482,13176,13737,15268,2133,14394,17003,13530,17831,17434,17389,17231,15646,16892,14534,15915,20975,16043,15571,14349,13253,13759,12671,9624,11422,10590,9460,10214,7526,10089,6277,6904,7843,12221,10132,11126,11071,11712,13081,13245,20663,19499,20044,17064,16050,19993,15936,13095,14706,12861,12937,13599,14221,12552,12098,13117,14424,15181,2133,17037,15870,17974,16633,19622,21902,19343,18840,19799,22755,23558,20959,8264,24654,22618,21183,19922,19249,22444,24075,25024,24010,22046,20331,19231,20213,21787,20896,2133,18616,19187,17516,19515,22647,25488,29094,27057,25908,25516,26515,23826,23361,25387,25572,23104,21710,23245,24917,26155,24541,22978,26945,25982,27938,29591,30722,35339,28562,30158,29304,29437,26590,28454,25493,25010,30876,32952,31385,32496,37894,0,30768,32765,32318,31706,30166,29370,32735,37890,33087,39303,0,33386,34985,34824,38067,36796,38513,0,37035,35091,37387,37971,37453,40249,40213,42852,40966,33969,35480,38068,38155,38769,41326,33839,33233,18332,15870,17583,15890,15719,22604,16452,23290,19717,20495,18540,8824,8504,7718,7952,7897,8374,8416,9747,7819,8783,10018,10038,9000,10868,10977,10515,3613,2830,3047,3975,4482,4236,4283,6764,5220,4292,6012,6935,11758,6624,6911,6697,7353,7445,16429,12433,11637,10842,11108,0,11681,13577,13451,14702,14393,8731,11160,10366,11143,12095,20089,24861,25504,26694,43690,51807,24240,22122,40821,40515,36816,38053,37090,35208,36370,25046,22703,27404,25153,23847,20970,22072,27385,23997,21582,23411,28126,26974,30519,29968,30201,33059,44177,0,58991,47350,51539,52251,39350,43378,42260,43744,46684,51571,59062,70824,72649,68984,66457,54702,68785,67080,53085,54056,50949,50014,51127,45651,47667,45728,45518,45253,48365,49993,2133,51127,47638,53777,51649,49286,49408,47575,65179,52218,54276,54175,65661,47647,49245,51387,52788,48385,50253,44477,45762,48553,42356,50116,48031,48624,41704,49204,39140,48612,53925,41468,58935,57906,58090,2133,57880,69427,64214,67104,64610,63241,59514,59687,62292,88831,58454,55244,60783,52879,54563,53261,55927,55757,55017,36870
"-22.9135526,-43.1729363",1804,1340,1595,0,1014,1093,1580,1734,1481,1914,2267,3300,2219,4793,2928,3063,2296,2360,2028,5160,3662,5899,4465,1358,2834,3814,5793,4968,7753,6467,7421,6577,6793,2028,38593,10412,8578,8945,0,10921,15228,18490,7861,10988,7038,8984,10679,12912,13023,14084,15615,2028,14593,17503,13960,17824,17427,17819,17224,15639,16885,14964,16345,21406,16473,15564,14779,13246,14189,13101,10054,11852,11412,8602,11508,7896,10911,6872,7334,8273,12263,9622,11119,11501,12142,13729,13894,21093,21900,20474,17494,16480,20815,16366,13525,15136,13291,13759,14421,15043,13401,12528,13547,14854,15611,2028,17467,16300,18404,17063,20053,22332,19773,19271,20230,23185,23989,21390,7949,25084,23048,21613,20352,19242,22874,24505,25454,24003,22039,20761,19224,20643,22218,21326,2028,19046,19618,17509,19031,23078,25231,28706,27487,26338,25946,26945,24256,23792,25817,30313,23535,22141,23238,24451,26585,24534,22971,27375,26412,28368,30021,31152,35769,28992,30588,27753,29697,27020,27989,25923,25003,31306,33382,33600,32926,38324,0,31198,27472,32748,32136,30596,29515,33165,38320,33517,39733,0,33816,35415,35254,38497,37226,38943,0,37465,35521,37817,38401,37883,40679,40643,43282,41396,34399,35910,38498,38585,39199,41756,34269,33663,19862,24868,26433,23885,23702,22803,26116,24820,21248,22605,20070,8717,8397,7613,7847,7792,8269,8311,9642,7714,8678,9913,9933,8895,10763,10872,10410,3508,2725,2942,3870,4377,4131,4178,6659,5115,4187,5907,7131,11653,6519,7523,6592,7248,7337,16859,12328,11532,10737,11003,0,11646,13472,13346,14597,13952,10025,11055,10261,11038,11990,19984,24756,25399,27697,44121,25287,24135,22552,41251,40945,37246,27728,37520,35638,36800,25342,23235,25844,25583,24277,21317,22418,33723,24171,21929,24691,28556,27404,30949,30398,30631,33489,44607,0,59421,47780,46207,52681,39780,44644,42690,44174,47114,52001,59492,71254,73079,69772,66887,55132,69215,67510,53515,54486,51379,50444,51557,46081,48097,46158,45948,45683,48795,50423,2028,51557,48068,54207,52079,49716,49838,48005,65609,52648,54706,54605,66449,48077,49675,51817,52399,48815,50683,44907,46192,48983,42786,49973,48000,49054,42134,49634,39570,49042,54355,41898,59365,58336,58520,2028,58310,69857,64644,67534,65040,63671,59944,60117,62722,0,58884,55674,61213,53309,54993,53691,56357,56187,55447,37300
"-22.9121228,-43.171083499999988",3064,2040,1376,1014,0,2173,2243,2906,2462,4106,3152,3929,3693,5982,4539,4545,3770,3924,1594,7106,4476,7387,5135,2773,3649,4628,6608,5783,7469,6347,7401,6924,7864,1594,39954,12367,10534,10900,0,12727,17183,20445,9817,12287,8994,10613,12308,14757,14384,15234,16765,1594,16222,18864,17689,19976,19579,19775,19376,17791,19037,16920,18301,23361,18429,17716,16735,15398,14768,15056,12010,14077,12082,10563,12042,9836,12467,8105,10469,10228,13630,10989,12486,12470,14097,14009,13171,23318,20622,22699,19719,18705,0,18591,15750,17362,15516,14464,15126,15748,13936,14483,15502,17080,17567,1594,19692,18525,20629,19288,21928,24287,21999,21226,22185,25140,25329,23625,7079,27309,25273,23838,21713,20609,24235,25866,26815,25370,23406,22907,20591,23307,23288,23019,1594,21371,21573,18876,20487,25033,26460,29168,30255,28293,27901,28901,26211,25747,27772,27957,26021,24096,24605,25889,28730,25901,24338,29330,28367,30514,32167,33298,37915,31138,32734,30276,34844,30027,29426,28068,26370,33261,35337,35555,34881,40279,0,33153,30418,34703,34091,32551,31755,35120,40275,35472,41688,0,35771,37370,37209,40452,39181,40898,0,39420,37476,39772,40356,39838,42634,42598,45237,43351,36354,37865,40453,40540,41154,43711,36224,35618,19844,25626,26413,24644,23702,23561,26098,24802,21230,22008,20052,9503,9183,7330,7564,7509,7986,8028,9359,7431,8395,9629,9649,8612,10480,10589,10127,3224,2366,2084,3586,4094,3847,3894,6375,4831,3904,5623,6546,11369,6235,6522,6308,6619,8123,19084,12045,11249,10454,10719,0,11292,13189,13063,14314,13793,10559,10771,9977,10785,11707,19700,24473,25116,21981,46076,25003,23851,24507,43206,42900,39201,29874,39475,37593,38755,27622,25279,29980,27539,26233,22467,23569,33440,25321,23079,29043,30512,29360,33095,32544,32777,33880,46562,0,61376,49735,53924,54636,41735,46599,44645,46129,49069,53956,61447,73209,75034,71727,68842,57087,71170,69465,55470,56441,53334,52399,53512,48036,50052,48113,47903,47638,50750,52378,2781,53512,50023,56162,54034,51671,51793,49960,67564,54603,56661,56560,68404,50032,51630,53772,54354,50770,52638,46862,48147,50938,44741,51928,49955,51009,44089,51589,41525,50997,56310,43853,61320,60291,60475,2781,60265,71812,66599,69489,66995,65626,61899,62072,64677,0,60839,57629,63168,55264,56948,55646,58312,58142,57402,39255
"-22.910479,-43.177743199999988",1522,1125,911,1094,2613,0,939,1333,1044,1477,1097,1874,1932,4356,2491,2251,1912,2376,1591,4723,4132,4760,3489,830,2026,2600,8169,5252,7381,6030,6984,6140,6356,1591,38156,9975,8141,8508,0,10335,14791,18053,7424,10551,6601,8547,10242,12475,12586,13647,15178,1591,14156,17066,13523,17387,16990,17382,16787,15202,16448,14527,15908,20969,16036,15127,14342,12809,13752,12664,9617,11415,9543,8165,10182,6923,10562,6103,6897,7836,11826,9185,10682,11064,11705,11850,11229,20656,18567,20037,17057,16043,18967,15929,13088,14699,12854,11911,12573,13195,11553,12091,13110,14417,15174,1591,17030,15863,17967,16626,19616,21895,19336,18834,19793,22748,23552,20953,7512,24647,22611,21176,19915,18805,22437,24068,25017,23566,21602,20324,18787,20206,21781,20889,1591,18609,19181,17072,18594,22641,24794,28269,27050,25901,25509,26508,23819,23355,25380,25565,23098,21704,22801,23617,26148,24097,22534,26938,25975,27931,29584,30715,35332,28555,30151,27316,29430,26583,30646,25486,24566,30869,32945,31378,32489,37887,0,30761,32758,32311,31699,30159,29363,32728,37883,33080,39296,0,33379,34978,34817,38060,36789,38506,0,37028,35084,37380,37964,37446,40242,40206,42845,40959,33962,35473,38061,38148,38762,41319,33832,33226,18692,23698,25263,22715,22532,21633,24946,23650,20078,21435,18900,8299,8003,7176,7410,7355,7832,7874,9205,7277,8241,9476,9496,8458,10326,10435,9973,3071,2288,2505,3433,3940,3694,3741,6222,4678,3750,5470,6393,11216,6082,6369,6155,6811,6938,16422,11891,11095,10300,10566,0,11139,13035,12909,14160,13640,8042,10618,9824,10601,11553,19547,24319,24962,26687,43684,51800,23698,22115,40814,40508,36809,38046,37083,35201,36363,25039,22696,27397,25146,23840,20880,21981,27122,23734,21492,24254,28119,26967,30512,29961,30194,33052,44170,0,58984,47343,51532,52244,39343,43371,42253,43737,46677,51564,59055,70817,72642,68977,66450,54695,68778,67073,53078,54049,50942,50007,51120,45644,47660,45721,45511,45246,48358,49986,1591,51120,47631,53770,51642,49279,49401,47568,65172,52211,54269,54168,65654,47640,49238,51380,51962,48378,50246,44470,45755,48546,42349,50109,48024,48617,41697,49197,39133,48605,53918,41461,58928,57899,58083,1591,57873,69420,64207,67097,64603,63234,59507,59680,62285,67133,58447,55237,60776,52872,54556,53254,55920,55750,55010,36863
