LOG_NU,UFE_SG,LOC_NU,BAI_NU_INI,BAI_NU_FIM,LOG_NO,LOG_COMPLEMENTO,CEP,TLO_TX,LOG_STA_TLO,LOG_NO_ABREV
354714,RJ,7043,12170,NULL,"Murilo Alvarenga",NULL,23071040,Rua,S,"R Murilo Alvarenga"
352253,RJ,7043,12170,NULL,"José Pedro Maduro",NULL,23071050,Rua,S,"R José P Maduro"
355497,RJ,7043,12170,NULL,"Osvaldo Pereira Lira",NULL,23071060,Rua,S,"R Osvaldo P Lira"
361800,RJ,7043,12170,NULL,"Valdemar Medrado Dias",NULL,23071070,Rua,S,"R Valdemar M Dias"
350548,RJ,7043,12170,NULL,"Heitor da Mota Ferreira",NULL,23071080,Rua,S,"R Heitor da M Ferreira"
349252,RJ,7043,12170,NULL,"Firmina de Araújo",NULL,23071090,Rua,S,"R Firmina de Araújo"
350734,RJ,7043,12170,NULL,"Horácio Alves Barbosa",NULL,23071100,Rua,S,"R Horácio A Barbosa"
352080,RJ,7043,12170,NULL,"José Avelino Marques Monteiro",NULL,23071110,Rua,S,"R José A M Monteiro"
350680,RJ,7043,12170,NULL,"Herminio dos Santos Luzes",NULL,23071120,Rua,S,"R Herminio dos Stos Luzes"
347402,RJ,7043,12170,NULL,"Daniel Dinis da Fonseca",NULL,23071130,Rua,S,"R Daniel D da Fonseca"
344932,RJ,7043,12170,NULL,"Bernardo Francisco de Barros",NULL,23071140,Rua,S,"R Bernardo F de Barros"
354913,RJ,7043,12170,NULL,"Nilton de Almeida Costa",NULL,23071150,Rua,S,"R Nilton de A Costa"
358142,RJ,7043,12170,NULL,"Santa Maria","- até 1633/1634",23071160,Estrada,S,"Est Sta Maria"
357534,RJ,7043,12170,NULL,Rincão,NULL,23071170,Rua,S,"R Rincão"
360450,RJ,7043,12170,NULL,"do Trovador",NULL,23071180,Rua,S,"R do Trovador"
353878,RJ,7043,12170,NULL,"Mário Cordeiro",NULL,23071190,Rua,S,"R Mário Cordeiro"
343846,RJ,7043,12170,NULL,Aquitania,NULL,23071200,Rua,S,"R Aquitania"
356242,RJ,7043,12170,NULL,Peregrina,NULL,23071210,Rua,S,"R Peregrina"
349288,RJ,7043,12170,NULL,"Flávio Fraga",NULL,23071220,Rua,S,"R Flávio Fraga"
353191,RJ,7043,12170,NULL,"da Madeira",NULL,23071230,Rua,S,"R da Madeira"
351798,RJ,7043,12170,NULL,"João Menezes",NULL,23071240,Rua,S,"R João Menezes"
361179,RJ,7043,12170,NULL,"Vital de Castro",NULL,23071250,Rua,S,"R Vital de Castro"
343658,RJ,7043,12170,NULL,"Antônio Chagas",NULL,23071260,Rua,S,"R Antônio Chagas"
357669,RJ,7043,12170,NULL,"Rocha Barreto",NULL,23071270,Rua,S,"R Rocha Barreto"
355409,RJ,7043,12170,NULL,Oratório,NULL,23071280,Rua,S,"R Oratório"
353469,RJ,7043,12170,NULL,"Manuel José Valente",NULL,23071290,Rua,S,"R Manuel J Valente"
