place,latitude,longitude
Percurso do Bonde de Santa Teresa,-22.910278,-43.178889
Percurso do VLT,-22.9108116,-43.1772158
Planetário da Gávea,-22.978242,-43.2324218
Praia Vermelha,-22.9552279,-43.1669132
Praia da Barra da Tijuca,-23.010833,-43.359722
Praia de Copacabana,-22.9708283,-43.1841331
Praia de Ipanema,-22.9869394,-43.2063554
Praia de São Conrado,-22.999995,-43.2696887
Praia do Leblon,-22.9877717,-43.2236142
Praia do Leme,-22.9631205,-43.170973
Praia do Pepê,-23.0149534,-43.3156156
Praça Mauá,-22.8962339,-43.1831547
Praça Paris,-22.9158591,-43.177957
Praça Tiradentes,-22.8962339,-43.1831547
Praça XV,-22.902905,-43.1758521
Pão de Açúcar,-22.9492383,-43.1633305
Pólo Gastronômico Rua Nelson Mandela,-22.949722,-43.184722
Quinta da Boa Vista,-22.9053673,-43.2256757
Real Gabinete Português de Leitura,-22.9054057,-43.1843975
Riocentro,-22.9785251,-43.4138596
Sala Cecília Meirelles,-22.9144872,-43.1806154
Sambódromo,-22.9114472,-43.1989927
Santa Teresa,-22.9189469,-43.1854071
Teatro Popular,-22.8880681,-43.1298471
Theatro Municipal,-22.9090431,-43.1787462
Trem do Corcovado,-22.9406018,-43.2007701
Urca,-22.95525,-43.16705556
Viaduto de Madureira,-22.876038,-43.3369597
Vila dos Atletas,-22.9649921,-43.3973627
Vista Chinesa,-22.9732372,-43.2516327
